== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

OK   P2         x-ai/grok-4.5                          r2 c  $2.1283
OK   P3         x-ai/grok-4.5                          r0 -  $2.1411
FAIL P3         x-ai/grok-4.5                          r1 -  $2.1459
OK   P3         x-ai/grok-4.5                          r2 -  $2.1517
FAIL P4         x-ai/grok-4.5                          r0 -  $2.1632
FAIL P4         x-ai/grok-4.5                          r1 -  $2.1676
FAIL P4         x-ai/grok-4.5                          r2 -  $2.1726
OK   P5         x-ai/grok-4.5                          r0 -  $2.1857
OK   P5         x-ai/grok-4.5                          r1 -  $2.1911
OK   P5         x-ai/grok-4.5                          r2 -  $2.1960
N/A  P6         x-ai/grok-4.5                          r0 -  $2.2050
N/A  P6         x-ai/grok-4.5                          r1 -  $2.2147
FAIL P6         x-ai/grok-4.5                          r2 -  $2.2353
OK   P7         x-ai/grok-4.5                          r0 -  $2.2544
OK   P7         x-ai/grok-4.5                          r1 -  $2.2716
OK   P7         x-ai/grok-4.5                          r2 -  $2.2890
OK   P1         deepseek/deepseek-chat-v3.1            r0 -  $2.2901
OK   P1         deepseek/deepseek-chat-v3.1            r1 -  $2.2908
OK   P1         deepseek/deepseek-chat-v3.1            r2 -  $2.2914
OK   P2         deepseek/deepseek-chat-v3.1            r0 a  $2.2915
OK   P2         deepseek/deepseek-chat-v3.1            r1 b  $2.2916
OK   P2         deepseek/deepseek-chat-v3.1            r2 c  $2.2916
OK   P3         deepseek/deepseek-chat-v3.1            r0 -  $2.2923
FAIL P3         deepseek/deepseek-chat-v3.1            r1 -  $2.2930
OK   P3         deepseek/deepseek-chat-v3.1            r2 -  $2.2936
FAIL P4         deepseek/deepseek-chat-v3.1            r0 -  $2.2943
FAIL P4         deepseek/deepseek-chat-v3.1            r1 -  $2.2949
OK   P4         deepseek/deepseek-chat-v3.1            r2 -  $2.2957
OK   P5         deepseek/deepseek-chat-v3.1            r0 -  $2.2966
OK   P5         deepseek/deepseek-chat-v3.1            r1 -  $2.2975
OK   P5         deepseek/deepseek-chat-v3.1            r2 -  $2.2989
FAIL P6         deepseek/deepseek-chat-v3.1            r0 -  $2.3014
FAIL P6         deepseek/deepseek-chat-v3.1            r1 -  $2.3040
FAIL P6         deepseek/deepseek-chat-v3.1            r2 -  $2.3071
OK   P7         deepseek/deepseek-chat-v3.1            r0 -  $2.3087
OK   P7         deepseek/deepseek-chat-v3.1            r1 -  $2.3102
OK   P7         deepseek/deepseek-chat-v3.1            r2 -  $2.3117
OK   P1         qwen/qwen3-235b-a22b-2507              r0 -  $2.3122
OK   P1         qwen/qwen3-235b-a22b-2507              r1 -  $2.3127
OK   P1         qwen/qwen3-235b-a22b-2507              r2 -  $2.3131
OK   P2         qwen/qwen3-235b-a22b-2507              r0 a  $2.3132
OK   P2         qwen/qwen3-235b-a22b-2507              r1 b  $2.3132
