== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 1 models x 18 probes x n=25, budget $1.00 ==
workers: 6

FAIL P17        openai/gpt-5.6-luna                    r3 -  $0.0732  [153/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r4 -  $0.0738  [154/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r5 -  $0.0747  [155/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r2 -  $0.0758  [156/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r6 -  $0.0760  [157/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r7 -  $0.0761  [158/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r8 -  $0.0778  [159/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r9 -  $0.0782  [160/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r10 -  $0.0797  [161/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r11 -  $0.0799  [162/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r12 -  $0.0804  [163/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r13 -  $0.0806  [164/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r14 -  $0.0830  [165/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r15 -  $0.0839  [166/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r16 -  $0.0847  [167/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r18 -  $0.0851  [168/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r17 -  $0.0854  [169/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r19 -  $0.0869  [170/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r20 -  $0.0880  [171/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r23 -  $0.0885  [172/450, ~5m left]
